"time_5yr","woman_age_ab_bin","rural","births","deaths","nmr_smoothed","births_smoothed","births_total","gamma_m2","gamma_m1","rural_ch","gamma_m0"
"2011-2015","40-44",1,460,9,0.0291578402669555,371,14320,0.0259078212290503,0.0234567901234568,"rural",0.032122905027933
"2011-2015","45-49",0,2,0,0.0226876447971887,12,2697,0.00444938820912125,0,"urban",0.000741564701520208
"2011-2015","45-49",1,70,2,0.0296843236960908,62,14320,0.00432960893854749,0,"rural",0.00488826815642458
"1986-1990","25-29",0,NA,NA,0.0278565834811896,159,753,0.211155378486056,0.234604105571848,"urban",NA
"1986-1990","25-29",1,NA,NA,0.0363875088426813,843,4005,0.210486891385768,0.229149519890261,"rural",NA
"1986-1990","30-34",0,NA,NA,0.0325839347950858,105,753,0.139442231075697,0.12866568914956,"urban",NA
"1986-1990","30-34",1,NA,NA,0.0425001415090934,558,4005,0.139325842696629,0.158367626886145,"rural",NA
"1986-1990","35-39",0,NA,NA,0.0378252254553178,53,753,0.0703851261620186,0.0524193548387097,"urban",NA
"1986-1990","35-39",1,NA,NA,0.0492608782689455,282,4005,0.0704119850187266,0.0871742112482853,"rural",NA
"1986-1990","40-44",0,NA,NA,0.0368586081183198,19,753,0.0252324037184595,0.0142961876832845,"urban",NA
"1986-1990","40-44",1,NA,NA,0.0480394595814631,104,4005,0.0259675405742821,0.0234567901234568,"rural",NA
"1986-1990","45-49",0,NA,NA,0.037528118112777,3,753,0.00398406374501992,0,"urban",NA
"1986-1990","45-49",1,NA,NA,0.0488400735237095,17,4005,0.00424469413233458,0,"rural",NA
"1991-1995","30-34",0,NA,NA,0.0289587967391452,167,1199,0.139282735613011,0.12866568914956,"urban",NA
"1991-1995","30-34",1,NA,NA,0.0378129891050441,887,6372,0.139202762084118,0.158367626886145,"rural",NA
"1991-1995","35-39",0,NA,NA,0.0336406975356447,85,1199,0.0708924103419516,0.0524193548387097,"urban",NA
"1991-1995","35-39",1,NA,NA,0.0438722072402993,449,6372,0.0704645323289391,0.0871742112482853,"rural",NA
"1991-1995","40-44",0,NA,NA,0.0327928078403543,31,1199,0.0258548790658882,0.0142961876832845,"urban",NA
"1991-1995","40-44",1,NA,NA,0.0428033233353045,165,6372,0.025894538606403,0.0234567901234568,"rural",NA
"1991-1995","45-49",0,NA,NA,0.0334046559186306,5,1199,0.00417014178482068,0,"urban",NA
"1991-1995","45-49",1,NA,NA,0.0435388435684235,27,6372,0.00423728813559322,0,"rural",NA
"1996-2000","35-39",0,NA,NA,0.0300522101106092,126,1783,0.0706674144699944,0.0524193548387097,"urban",NA
